,pro,mat,x,y,compute,m,n,nnz,cu_time,flops,cu_gflops
125,exe_spgemm_cusparse_32,/ssget/MM/SNAP/p2p-Gnutella09/p2p-Gnutella09.cbd,4,4,4,8114,8114,26013,0.14554,108864,1.4960010993541295
126,exe_spgemm_cusparse_64,/ssget/MM/SNAP/p2p-Gnutella09/p2p-Gnutella09.cbd,8,8,8,8114,8114,26013,0.13998,108864,1.5554222031718818
127,exe_spgemm_cusparse_bf16,/ssget/MM/SNAP/p2p-Gnutella09/p2p-Gnutella09.cbd,2,2,2,8114,8114,26013,0.14758,108864,1.4753218593305326
128,exe_spgemm_cusparse_16,/ssget/MM/SNAP/p2p-Gnutella30/p2p-Gnutella30.cbd,2,2,2,36682,36682,88328,0.18411,330554,3.5908315680842975
129,exe_spgemm_cusparse_32,/ssget/MM/SNAP/p2p-Gnutella30/p2p-Gnutella30.cbd,4,4,4,36682,36682,88328,0.18615,330554,3.5514799892559763
130,exe_spgemm_cusparse_64,/ssget/MM/SNAP/p2p-Gnutella30/p2p-Gnutella30.cbd,8,8,8,36682,36682,88328,0.20976,330554,3.15173531655225
131,exe_spgemm_cusparse_bf16,/ssget/MM/SNAP/p2p-Gnutella30/p2p-Gnutella30.cbd,2,2,2,36682,36682,88328,0.19844,330554,3.33152590203588
132,exe_spgemm_cusparse_16,/ssget/MM/SNAP/p2p-Gnutella31/p2p-Gnutella31.cbd,2,2,2,62586,62586,147892,0.24567,538318,4.382447999348719
133,exe_spgemm_cusparse_32,/ssget/MM/SNAP/p2p-Gnutella31/p2p-Gnutella31.cbd,4,4,4,62586,62586,147892,0.25202,538318,4.272026029680184
134,exe_spgemm_cusparse_64,/ssget/MM/SNAP/p2p-Gnutella31/p2p-Gnutella31.cbd,8,8,8,62586,62586,147892,0.29804,538318,3.6123875989800025
135,exe_spgemm_cusparse_bf16,/ssget/MM/SNAP/p2p-Gnutella31/p2p-Gnutella31.cbd,2,2,2,62586,62586,147892,0.24669,538318,4.364327698731201
136,exe_spgemm_cusparse_16,/ssget/MM/SNAP/p2p-Gnutella05/p2p-Gnutella05.cbd,2,2,2,8846,8846,31839,0.16585,136650,1.6478745854687973
137,exe_spgemm_cusparse_32,/ssget/MM/SNAP/p2p-Gnutella05/p2p-Gnutella05.cbd,4,4,4,8846,8846,31839,0.16549,136650,1.6514593026768989
138,exe_spgemm_cusparse_64,/ssget/MM/SNAP/p2p-Gnutella05/p2p-Gnutella05.cbd,8,8,8,8846,8846,31839,0.15793,136650,1.7305135186475022
139,exe_spgemm_cusparse_bf16,/ssget/MM/SNAP/p2p-Gnutella05/p2p-Gnutella05.cbd,2,2,2,8846,8846,31839,0.16552,136650,1.651159980666989
